time,open,high,low,close,tick_volume
2024-07-04 07:15:00,1.079,1.07929,1.07883,1.07917,528
2024-07-04 07:30:00,1.07918,1.07946,1.0791,1.07935,530
2024-07-04 07:45:00,1.07936,1.0796000000000001,1.07914,1.07941,467
2024-07-04 08:00:00,1.07941,1.07986,1.07933,1.07983,462
2024-07-04 08:15:00,1.07983,1.08025,1.0796999999999999,1.08023,431
2024-07-04 08:30:00,1.0802100000000001,1.0802100000000001,1.07966,1.07985,506
2024-07-04 08:45:00,1.07985,1.08026,1.07972,1.08012,456
2024-07-04 09:00:00,1.08011,1.08024,1.07974,1.07998,438
2024-07-04 09:15:00,1.07998,1.08018,1.07965,1.07978,427
2024-07-04 09:30:00,1.07978,1.07982,1.07947,1.07972,340
2024-07-04 09:45:00,1.07973,1.08002,1.07959,1.07974,356
2024-07-04 10:00:00,1.07975,1.0799,1.07945,1.07946,333
2024-07-04 10:15:00,1.07946,1.07958,1.07936,1.07946,262
2024-07-04 10:30:00,1.07946,1.07998,1.0794,1.07987,324
2024-07-04 10:45:00,1.07986,1.08012,1.07981,1.08005,343
2024-07-04 11:00:00,1.08004,1.08016,1.07986,1.0799,367
2024-07-04 11:15:00,1.07989,1.07989,1.07957,1.07961,270
2024-07-04 11:30:00,1.07961,1.08002,1.07961,1.07979,292
2024-07-04 11:45:00,1.07979,1.0801,1.07964,1.07966,412
2024-07-04 12:00:00,1.07965,1.08,1.07954,1.07992,379
2024-07-04 12:15:00,1.07994,1.08009,1.07985,1.07989,284
2024-07-04 12:30:00,1.07989,1.08017,1.0798,1.08002,353
2024-07-04 12:45:00,1.08002,1.08015,1.07959,1.07968,375
2024-07-04 13:00:00,1.07966,1.07973,1.07941,1.07962,372
2024-07-04 13:15:00,1.07961,1.07977,1.07956,1.07968,297
2024-07-04 13:30:00,1.07968,1.08,1.0796000000000001,1.07986,332
2024-07-04 13:45:00,1.07985,1.08012,1.07969,1.08004,328
2024-07-04 14:00:00,1.08004,1.08027,1.07992,1.08009,385
2024-07-04 14:15:00,1.08009,1.08034,1.07987,1.08024,364
2024-07-04 14:30:00,1.08024,1.08061,1.0802,1.08052,334
2024-07-04 14:45:00,1.08052,1.08086,1.0805,1.08076,497
2024-07-04 15:00:00,1.08077,1.08133,1.08064,1.08124,466
2024-07-04 15:15:00,1.08121,1.08131,1.08093,1.08108,252
2024-07-04 15:30:00,1.08109,1.08132,1.08104,1.08123,147
2024-07-04 15:45:00,1.08123,1.08133,1.081,1.08101,151
2024-07-04 16:00:00,1.08101,1.08133,1.08094,1.08129,204
2024-07-04 16:15:00,1.08129,1.08132,1.08122,1.0813,102
2024-07-04 16:30:00,1.08127,1.0813,1.08109,1.08111,99
2024-07-04 16:45:00,1.08111,1.08119,1.08092,1.08115,136
2024-07-04 17:00:00,1.08115,1.08123,1.08103,1.0811,100
2024-07-04 17:15:00,1.0811,1.08119,1.08103,1.08105,69
2024-07-04 17:30:00,1.08105,1.08111,1.081,1.08103,47
2024-07-04 17:45:00,1.08103,1.08111,1.08102,1.08111,72
2024-07-04 18:00:00,1.08111,1.08117,1.08108,1.08116,63
2024-07-04 18:15:00,1.08116,1.0812,1.08113,1.08117,58
2024-07-04 18:30:00,1.08117,1.08123,1.08115,1.08121,35
